,0,1,2,3,4,5
157204,1584480,UpperSolution.com,10-Q,2018-03-12,edgar/data/1584480/0001640334-18-000449.txt,edgar/data/1584480/0001640334-18-000449-index.html
157214,1584509,Aramark,10-Q,2018-02-06,edgar/data/1584509/0001584509-18-000044.txt,edgar/data/1584509/0001584509-18-000044-index.html
157291,1584693,"GRASSHOPPER STAFFING, INC.",10-Q,2018-03-19,edgar/data/1584693/0001393905-18-000105.txt,edgar/data/1584693/0001393905-18-000105-index.html
157319,1584754,"Akoustis Technologies, Inc.",10-Q,2018-02-14,edgar/data/1584754/0001615774-18-001205.txt,edgar/data/1584754/0001615774-18-001205-index.html
157341,15847,BUTLER NATIONAL CORP,10-Q,2018-03-16,edgar/data/15847/0001437749-18-004834.txt,edgar/data/15847/0001437749-18-004834-index.html
157697,1585738,"Ethos Media Network, Inc.",10-Q,2018-01-16,edgar/data/1585738/0001477932-18-000244.txt,edgar/data/1585738/0001477932-18-000244-index.html
157700,1585755,Arias Intel Corp.,10-Q,2018-02-14,edgar/data/1585755/0001493152-18-002125.txt,edgar/data/1585755/0001493152-18-002125-index.html
157878,1586452,"LUBOA GROUP, INC.",10-Q,2018-01-12,edgar/data/1586452/0001213900-18-000440.txt,edgar/data/1586452/0001213900-18-000440-index.html
157905,1586495,Blow & Drive Interlock Corp,10-Q,2018-02-09,edgar/data/1586495/0001493152-18-001718.txt,edgar/data/1586495/0001493152-18-001718-index.html
158929,1589150,Regen BioPharma Inc,10-Q,2018-02-06,edgar/data/1589150/0001607062-18-000047.txt,edgar/data/1589150/0001607062-18-000047-index.html
159027,1589526,Blue Bird Corp,10-Q,2018-02-07,edgar/data/1589526/0001589526-18-000029.txt,edgar/data/1589526/0001589526-18-000029-index.html
159400,1590715,American Resources Corp,10-Q,2018-02-20,edgar/data/1590715/0001477932-18-000940.txt,edgar/data/1590715/0001477932-18-000940-index.html
159401,1590715,American Resources Corp,10-Q,2018-03-01,edgar/data/1590715/0001477932-18-001069.txt,edgar/data/1590715/0001477932-18-001069-index.html
159402,1590715,American Resources Corp,10-Q,2018-03-09,edgar/data/1590715/0001477932-18-001201.txt,edgar/data/1590715/0001477932-18-001201-index.html
159581,1590976,"Malibu Boats, Inc.",10-Q,2018-02-09,edgar/data/1590976/0001590976-18-000016.txt,edgar/data/1590976/0001590976-18-000016-index.html
159824,1591565,"BALLY, CORP.",10-Q,2018-02-20,edgar/data/1591565/0001640334-18-000367.txt,edgar/data/1591565/0001640334-18-000367-index.html
159828,1591588,"A-Mark Precious Metals, Inc.",10-Q,2018-02-09,edgar/data/1591588/0001591588-18-000006.txt,edgar/data/1591588/0001591588-18-000006-index.html
159846,1591615,"Poverty Dignified, Inc.",10-Q,2018-01-19,edgar/data/1591615/0001477932-18-000333.txt,edgar/data/1591615/0001477932-18-000333-index.html
159880,1591698,Paylocity Holding Corp,10-Q,2018-02-09,edgar/data/1591698/0001558370-18-000554.txt,edgar/data/1591698/0001558370-18-000554-index.html
160239,1592329,Clifton Bancorp Inc.,10-Q,2018-02-07,edgar/data/1592329/0001564590-18-001473.txt,edgar/data/1592329/0001564590-18-001473-index.html
160380,1592603,"NuLife Sciences, Inc.",10-Q,2018-02-23,edgar/data/1592603/0001391609-18-000038.txt,edgar/data/1592603/0001391609-18-000038-index.html
160410,1592706,"SB/RH Holdings, LLC",10-Q,2018-02-08,edgar/data/1592706/0001487730-18-000030.txt,edgar/data/1592706/0001487730-18-000030-index.html
160435,1592782,Nukkleus Inc.,10-Q,2018-02-13,edgar/data/1592782/0001615774-18-001118.txt,edgar/data/1592782/0001615774-18-001118-index.html
160474,1593001,"NightFood Holdings, Inc.",10-Q,2018-02-16,edgar/data/1593001/0001213900-18-002025.txt,edgar/data/1593001/0001213900-18-002025-index.html
160568,1593204,Adaiah Distribution Inc,10-Q,2018-03-08,edgar/data/1593204/0001477932-18-001154.txt,edgar/data/1593204/0001477932-18-001154-index.html
160815,1593812,Vaulted Gold Bullion Trust,10-Q,2018-03-19,edgar/data/1593812/0001214659-18-002237.txt,edgar/data/1593812/0001214659-18-002237-index.html
161038,1594337,"Corium International, Inc.",10-Q,2018-02-12,edgar/data/1594337/0001558370-18-000592.txt,edgar/data/1594337/0001558370-18-000592-index.html
161131,1594555,"HV Bancorp, Inc.",10-Q,2018-02-13,edgar/data/1594555/0001564590-18-001967.txt,edgar/data/1594555/0001564590-18-001967-index.html
162030,1596783,"Catalent, Inc.",10-Q,2018-02-05,edgar/data/1596783/0001596783-18-000010.txt,edgar/data/1596783/0001596783-18-000010-index.html
162120,1596946,Quotient Ltd,10-Q,2018-02-06,edgar/data/1596946/0001564590-18-001405.txt,edgar/data/1596946/0001564590-18-001405-index.html
162236,1596993,DORIAN LPG LTD.,10-Q,2018-02-08,edgar/data/1596993/0001596993-18-000009.txt,edgar/data/1596993/0001596993-18-000009-index.html
162712,1598014,IHS Markit Ltd.,10-Q,2018-03-27,edgar/data/1598014/0001598014-18-000041.txt,edgar/data/1598014/0001598014-18-000041-index.html
162967,1598683,"Recursos Queliz, Inc.",10-Q,2018-01-19,edgar/data/1598683/0001477932-18-000340.txt,edgar/data/1598683/0001477932-18-000340-index.html
163738,1600438,GMS Inc.,10-Q,2018-03-06,edgar/data/1600438/0001558370-18-001566.txt,edgar/data/1600438/0001558370-18-001566-index.html
163886,1600784,AMERICAN GENE ENGINEER CORP,10-Q,2018-03-26,edgar/data/1600784/0001214659-18-002340.txt,edgar/data/1600784/0001214659-18-002340-index.html
163970,1601046,"Keysight Technologies, Inc.",10-Q,2018-03-08,edgar/data/1601046/0001601046-18-000008.txt,edgar/data/1601046/0001601046-18-000008-index.html
164419,1602078,Nemaura Medical Inc.,10-Q,2018-02-09,edgar/data/1602078/0001079973-18-000097.txt,edgar/data/1602078/0001079973-18-000097-index.html
164511,1602409,"FingerMotion, Inc.",10-Q,2018-01-22,edgar/data/1602409/0001437749-18-000926.txt,edgar/data/1602409/0001437749-18-000926-index.html
164627,1602813,FRONTERA GROUP INC.,10-Q,2018-03-28,edgar/data/1602813/0001549727-18-000012.txt,edgar/data/1602813/0001549727-18-000012-index.html
164771,1603345,FairWind Energy Inc.,10-Q,2018-01-16,edgar/data/1603345/0001477932-18-000234.txt,edgar/data/1603345/0001477932-18-000234-index.html
164943,1603793,"INTERNATIONAL WESTERN PETROLEUM, INC.",10-Q,2018-01-22,edgar/data/1603793/0001493152-18-000863.txt,edgar/data/1603793/0001493152-18-000863-index.html
165068,1604028,"ADVANCED DRAINAGE SYSTEMS, INC.",10-Q,2018-02-09,edgar/data/1604028/0001564590-18-001769.txt,edgar/data/1604028/0001564590-18-001769-index.html
165122,16040,CABOT CORP,10-Q,2018-02-08,edgar/data/16040/0001564590-18-001706.txt,edgar/data/16040/0001564590-18-001706-index.html
165218,1604416,"Nexeo Solutions, Inc.",10-Q,2018-02-08,edgar/data/1604416/0001628280-18-001283.txt,edgar/data/1604416/0001628280-18-001283-index.html
165348,1604627,"Kush Bottles, Inc.",10-Q,2018-01-16,edgar/data/1604627/0001144204-18-002174.txt,edgar/data/1604627/0001144204-18-002174-index.html
165378,1604643,Evoqua Water Technologies Corp.,10-Q,2018-02-07,edgar/data/1604643/0001628280-18-001219.txt,edgar/data/1604643/0001628280-18-001219-index.html
165503,1604778,"Qorvo, Inc.",10-Q,2018-02-01,edgar/data/1604778/0001604778-18-000007.txt,edgar/data/1604778/0001604778-18-000007-index.html
165691,1605331,AB INTERNATIONAL GROUP CORP.,10-Q,2018-01-22,edgar/data/1605331/0001640334-18-000154.txt,edgar/data/1605331/0001640334-18-000154-index.html
165855,16058,CACI INTERNATIONAL INC /DE/,10-Q,2018-02-01,edgar/data/16058/0001564590-18-001197.txt,edgar/data/16058/0001564590-18-001197-index.html
165956,1606069,"SATYA WORLDWIDE, INC.",10-Q,2018-02-02,edgar/data/1606069/0001117768-18-000072.txt,edgar/data/1606069/0001117768-18-000072-index.html
165957,1606069,"SATYA WORLDWIDE, INC.",10-Q,2018-02-02,edgar/data/1606069/0001117768-18-000076.txt,edgar/data/1606069/0001117768-18-000076-index.html
166052,1606254,Nogales Resources Corp,10-Q,2018-03-15,edgar/data/1606254/0001662252-18-000044.txt,edgar/data/1606254/0001662252-18-000044-index.html
166107,1606364,Evolution Blockchain Group Inc.,10-Q,2018-03-16,edgar/data/1606364/0001062993-18-001228.txt,edgar/data/1606364/0001062993-18-001228-index.html
166108,1606364,GARMATEX HOLDINGS LTD.,10-Q,2018-01-02,edgar/data/1606364/0001062993-17-005393.txt,edgar/data/1606364/0001062993-17-005393-index.html
166329,1606757,"Kimball Electronics, Inc.",10-Q,2018-02-08,edgar/data/1606757/0001606757-18-000005.txt,edgar/data/1606757/0001606757-18-000005-index.html
166483,1607281,ELITE GROUP INC.,10-Q,2018-02-20,edgar/data/1607281/0001511164-18-000110.txt,edgar/data/1607281/0001511164-18-000110-index.html
166579,1607549,Stony Hill Corp.,10-Q,2018-02-14,edgar/data/1607549/0001477932-18-000820.txt,edgar/data/1607549/0001477932-18-000820-index.html
166641,1607679,Algae Dynamics Corp.,10-Q,2018-01-10,edgar/data/1607679/0001493152-18-000410.txt,edgar/data/1607679/0001493152-18-000410-index.html
166894,1608249,"Zayo Group Holdings, Inc.",10-Q,2018-02-08,edgar/data/1608249/0001558370-18-000478.txt,edgar/data/1608249/0001558370-18-000478-index.html
166984,1608429,"Gen Serv, INC.",10-Q,2018-01-16,edgar/data/1608429/0001477932-18-000218.txt,edgar/data/1608429/0001477932-18-000218-index.html
166986,1608430,"Renewable Energy & Power, Inc.",10-Q,2018-02-22,edgar/data/1608430/0001477932-18-000989.txt,edgar/data/1608430/0001477932-18-000989-index.html
167047,1608638,"Civitas Solutions, Inc.",10-Q,2018-02-08,edgar/data/1608638/0001608638-18-000008.txt,edgar/data/1608638/0001608638-18-000008-index.html
167301,1609258,PetroGas Co,10-Q,2018-02-20,edgar/data/1609258/0001640334-18-000362.txt,edgar/data/1609258/0001640334-18-000362-index.html
167392,1609472,GH Capital Inc.,10-Q,2018-02-08,edgar/data/1609472/0001520138-18-000014.txt,edgar/data/1609472/0001520138-18-000014-index.html
167443,1609702,"CDK Global, Inc.",10-Q,2018-01-30,edgar/data/1609702/0001609702-18-000005.txt,edgar/data/1609702/0001609702-18-000005-index.html
167575,1609880,MITU Resources Inc.,10-Q,2018-02-14,edgar/data/1609880/0001078782-18-000158.txt,edgar/data/1609880/0001078782-18-000158-index.html
167634,1609988,Gripevine Inc.,10-Q,2018-01-16,edgar/data/1609988/0001477932-18-000246.txt,edgar/data/1609988/0001477932-18-000246-index.html
167653,16099,LUBYS INC,10-Q,2018-01-29,edgar/data/16099/0000016099-18-000020.txt,edgar/data/16099/0000016099-18-000020-index.html
167795,1610250,"Boot Barn Holdings, Inc.",10-Q,2018-02-01,edgar/data/1610250/0001558370-18-000359.txt,edgar/data/1610250/0001558370-18-000359-index.html
168172,1610940,ETF Managers Group Commodity Trust I,10-Q,2018-02-13,edgar/data/1610940/0001615774-18-001103.txt,edgar/data/1610940/0001615774-18-001103-index.html
168804,1612851,"Palayan Resources, Inc.",10-Q,2018-02-14,edgar/data/1612851/0001062993-18-000818.txt,edgar/data/1612851/0001062993-18-000818-index.html
168896,1613103,Medtronic plc,10-Q,2018-03-02,edgar/data/1613103/0001613103-18-000009.txt,edgar/data/1613103/0001613103-18-000009-index.html
168977,1613665,"Great Western Bancorp, Inc.",10-Q,2018-02-07,edgar/data/1613665/0001613665-18-000016.txt,edgar/data/1613665/0001613665-18-000016-index.html
169088,1613895,"Bemax, Inc.",10-Q,2018-01-12,edgar/data/1613895/0001213900-18-000458.txt,edgar/data/1613895/0001213900-18-000458-index.html
169335,1614466,Kibush Capital Corp,10-Q,2018-03-01,edgar/data/1614466/0001493152-18-002736.txt,edgar/data/1614466/0001493152-18-002736-index.html
169592,1615063,"Inspired Entertainment, Inc.",10-Q,2018-02-05,edgar/data/1615063/0001615774-18-000854.txt,edgar/data/1615063/0001615774-18-000854-index.html
169671,1615169,JIN WAN HONG INTERNATIONAL HOLDINGS Ltd,10-Q,2018-02-20,edgar/data/1615169/0001615774-18-001317.txt,edgar/data/1615169/0001615774-18-001317-index.html
170001,1615942,ONELIFE TECHNOLOGIES CORP,10-Q,2018-01-16,edgar/data/1615942/0001078782-18-000035.txt,edgar/data/1615942/0001078782-18-000035-index.html
170086,16160,CAL-MAINE FOODS INC,10-Q,2018-01-05,edgar/data/16160/0000016160-18-000006.txt,edgar/data/16160/0000016160-18-000006-index.html
170113,1616156,"WEWARDS, INC.",10-Q,2018-01-12,edgar/data/1616156/0001553350-18-000050.txt,edgar/data/1616156/0001553350-18-000050-index.html
170163,1616262,"Rocky Mountain Chocolate Factory, Inc.",10-Q,2018-01-12,edgar/data/1616262/0001437749-18-000582.txt,edgar/data/1616262/0001437749-18-000582-index.html
170222,1616318,Vista Outdoor Inc.,10-Q,2018-02-08,edgar/data/1616318/0001616318-18-000008.txt,edgar/data/1616318/0001616318-18-000008-index.html
170286,1616533,"SMART Global Holdings, Inc.",10-Q,2018-03-22,edgar/data/1616533/0001564590-18-006586.txt,edgar/data/1616533/0001564590-18-006586-index.html
170473,1616741,"PATRIOT TRANSPORTATION HOLDING, INC.",10-Q,2018-02-09,edgar/data/1616741/0001616741-18-000004.txt,edgar/data/1616741/0001616741-18-000004-index.html
170656,1617242,Kearny Financial Corp.,10-Q,2018-02-08,edgar/data/1617242/0001564590-18-001675.txt,edgar/data/1617242/0001564590-18-001675-index.html
170686,1617351,LEPOTA INC,10-Q,2018-02-22,edgar/data/1617351/0001617351-18-000007.txt,edgar/data/1617351/0001617351-18-000007-index.html
170726,1617431,"Po Yuen Cultural Holdings (Hong Kong) Co., Ltd.",10-Q,2018-02-14,edgar/data/1617431/0001659173-18-000092.txt,edgar/data/1617431/0001659173-18-000092-index.html
171039,1618181,World Currency Gold Trust,10-Q,2018-02-06,edgar/data/1618181/0001193125-18-033307.txt,edgar/data/1618181/0001193125-18-033307-index.html
171168,1618673,Performance Food Group Co,10-Q,2018-02-07,edgar/data/1618673/0001193125-18-034733.txt,edgar/data/1618673/0001193125-18-034733-index.html
171211,1618732,"Nutanix, Inc.",10-Q,2018-03-15,edgar/data/1618732/0001618732-18-000027.txt,edgar/data/1618732/0001618732-18-000027-index.html
171411,1618921,"Walgreens Boots Alliance, Inc.",10-Q,2018-01-04,edgar/data/1618921/0001618921-18-000004.txt,edgar/data/1618921/0001618921-18-000004-index.html
171412,1618921,"Walgreens Boots Alliance, Inc.",10-Q,2018-03-28,edgar/data/1618921/0001618921-18-000018.txt,edgar/data/1618921/0001618921-18-000018-index.html
171452,1619055,DOCASA Inc.,10-Q,2018-01-19,edgar/data/1619055/0001477932-18-000371.txt,edgar/data/1619055/0001477932-18-000371-index.html
171470,1619096,Summit Networks Inc.,10-Q,2018-03-19,edgar/data/1619096/0001091818-18-000046.txt,edgar/data/1619096/0001091818-18-000046-index.html
171505,1619227,"Cloudweb, Inc.",10-Q,2018-01-02,edgar/data/1619227/0001640334-18-000029.txt,edgar/data/1619227/0001640334-18-000029-index.html
171673,1619870,"National Art Exchange, Inc.",10-Q,2018-02-20,edgar/data/1619870/0001213900-18-002077.txt,edgar/data/1619870/0001213900-18-002077-index.html
172159,1620749,PANAMERA HEALTHCARE Corp,10-Q,2018-03-19,edgar/data/1620749/0001640334-18-000478.txt,edgar/data/1620749/0001640334-18-000478-index.html
172315,1621221,"ARTELO BIOSCIENCES, INC.",10-Q,2018-01-16,edgar/data/1621221/0001640334-18-000106.txt,edgar/data/1621221/0001640334-18-000106-index.html
172604,1621697,NATURAL HEALTH FARM HOLDINGS INC,10-Q,2018-02-20,edgar/data/1621697/0001214659-18-001386.txt,edgar/data/1621697/0001214659-18-001386-index.html
172710,1622057,Nascent Biotech Inc.,10-Q,2018-01-31,edgar/data/1622057/0001477932-18-000581.txt,edgar/data/1622057/0001477932-18-000581-index.html
172822,1622231,Emerald Data Inc,10-Q,2018-01-16,edgar/data/1622231/0001640334-18-000088.txt,edgar/data/1622231/0001640334-18-000088-index.html
172866,1622408,First Priority Tax Solutions Inc.,10-Q,2018-02-21,edgar/data/1622408/0001640334-18-000382.txt,edgar/data/1622408/0001640334-18-000382-index.html
172960,1622767,SIRRUS CORP.,10-Q,2018-01-16,edgar/data/1622767/0001640334-18-000101.txt,edgar/data/1622767/0001640334-18-000101-index.html
173009,1622996,"ACRO BIOMEDICAL CO., LTD.",10-Q,2018-02-14,edgar/data/1622996/0001640334-18-000321.txt,edgar/data/1622996/0001640334-18-000321-index.html
173562,1624794,"CSW INDUSTRIALS, INC.",10-Q,2018-02-08,edgar/data/1624794/0001624794-18-000004.txt,edgar/data/1624794/0001624794-18-000004-index.html
173606,1624899,STERIS plc,10-Q,2018-02-08,edgar/data/1624899/0001624899-18-000002.txt,edgar/data/1624899/0001624899-18-000002-index.html
173867,1625288,Intiva BioPharma Inc.,10-Q,2018-02-14,edgar/data/1625288/0001493152-18-002091.txt,edgar/data/1625288/0001493152-18-002091-index.html
174279,1626078,SavDen Group Corp.,10-Q,2018-01-16,edgar/data/1626078/0001213900-18-000564.txt,edgar/data/1626078/0001213900-18-000564-index.html
174521,1626853,Majesco,10-Q,2018-02-07,edgar/data/1626853/0001144204-18-006302.txt,edgar/data/1626853/0001144204-18-006302-index.html
174644,1627041,VISIBER57 CORP.,10-Q,2018-01-16,edgar/data/1627041/0001493152-18-000551.txt,edgar/data/1627041/0001493152-18-000551-index.html
174802,1627515,GOLUB CAPITAL INVESTMENT Corp,10-Q,2018-02-09,edgar/data/1627515/0001627515-18-000013.txt,edgar/data/1627515/0001627515-18-000013-index.html
174824,1627554,Quest Management Inc,10-Q,2018-03-06,edgar/data/1627554/0001477932-18-001139.txt,edgar/data/1627554/0001477932-18-001139-index.html
174868,1627631,"Global Gard, Inc.",10-Q,2018-01-22,edgar/data/1627631/0001494733-18-000002.txt,edgar/data/1627631/0001494733-18-000002-index.html
175435,1629205,"My Cloudz, Inc.",10-Q,2018-01-22,edgar/data/1629205/0001477932-18-000403.txt,edgar/data/1629205/0001477932-18-000403-index.html
175442,1629210,Paramount Gold Nevada Corp.,10-Q,2018-02-08,edgar/data/1629210/0001564590-18-001603.txt,edgar/data/1629210/0001564590-18-001603-index.html
175625,1629702,"China Crawfish, Ltd.",10-Q,2018-03-26,edgar/data/1629702/0001079974-18-000142.txt,edgar/data/1629702/0001079974-18-000142-index.html
175778,1630113,BIOTRICITY INC.,10-Q,2018-02-14,edgar/data/1630113/0001511164-18-000093.txt,edgar/data/1630113/0001511164-18-000093-index.html
175905,1630430,GAIN CITIES LTD,10-Q,2018-02-12,edgar/data/1630430/0001640334-18-000280.txt,edgar/data/1630430/0001640334-18-000280-index.html
176181,1631282,DATASEA INC.,10-Q,2018-02-13,edgar/data/1631282/0001615774-18-001123.txt,edgar/data/1631282/0001615774-18-001123-index.html
176237,1631463,Barrel Energy Inc.,10-Q,2018-02-13,edgar/data/1631463/0001477932-18-000806.txt,edgar/data/1631463/0001477932-18-000806-index.html
176274,1631547,"ROID GROUP, INC.",10-Q,2018-03-28,edgar/data/1631547/0001511164-18-000172.txt,edgar/data/1631547/0001511164-18-000172-index.html
176401,1631825,"Presidio, Inc.",10-Q,2018-02-08,edgar/data/1631825/0001631825-18-000009.txt,edgar/data/1631825/0001631825-18-000009-index.html
176492,1632053,"Cannabis Leaf, Inc.",10-Q,2018-02-09,edgar/data/1632053/0001562884-18-000006.txt,edgar/data/1632053/0001562884-18-000006-index.html
176766,1632790,"ENERGIZER HOLDINGS, INC.",10-Q,2018-01-31,edgar/data/1632790/0001632790-18-000022.txt,edgar/data/1632790/0001632790-18-000022-index.html
177442,1633978,Lumentum Holdings Inc.,10-Q,2018-02-06,edgar/data/1633978/0001628280-18-001086.txt,edgar/data/1633978/0001628280-18-001086-index.html
177558,1634117,"Barnes & Noble Education, Inc.",10-Q,2018-03-01,edgar/data/1634117/0001634117-18-000008.txt,edgar/data/1634117/0001634117-18-000008-index.html
177685,1634293,"Exceed World, Inc.",10-Q,2018-02-14,edgar/data/1634293/0001599916-18-000040.txt,edgar/data/1634293/0001599916-18-000040-index.html
178036,1635136,DUO WORLD INC,10-Q,2018-02-14,edgar/data/1635136/0001493152-18-002084.txt,edgar/data/1635136/0001493152-18-002084-index.html
178250,1635581,8point3 Energy Partners LP,10-Q,2018-03-28,edgar/data/1635581/0001628280-18-003722.txt,edgar/data/1635581/0001628280-18-003722-index.html
178275,1635626,Equitable Financial Corp.,10-Q,2018-02-14,edgar/data/1635626/0001558370-18-000693.txt,edgar/data/1635626/0001558370-18-000693-index.html
178451,1635965,4M Carbon Fiber Corp.,10-Q,2018-02-23,edgar/data/1635965/0001635965-18-000007.txt,edgar/data/1635965/0001635965-18-000007-index.html
178489,1636023,WestRock Co,10-Q,2018-02-07,edgar/data/1636023/0001636023-18-000032.txt,edgar/data/1636023/0001636023-18-000032-index.html
178546,1636050,Axovant Sciences Ltd.,10-Q,2018-02-09,edgar/data/1636050/0001636050-18-000007.txt,edgar/data/1636050/0001636050-18-000007-index.html
178566,1636051,FUSE ENTERPRISES INC.,10-Q,2018-02-13,edgar/data/1636051/0001185185-18-000212.txt,edgar/data/1636051/0001185185-18-000212-index.html
178779,1636519,Madison Square Garden Co,10-Q,2018-02-08,edgar/data/1636519/0001636519-18-000003.txt,edgar/data/1636519/0001636519-18-000003-index.html
179398,1638290,"MCBC Holdings, Inc.",10-Q,2018-02-09,edgar/data/1638290/0001558370-18-000540.txt,edgar/data/1638290/0001558370-18-000540-index.html
179626,1639234,T-BAMM,10-Q,2018-02-23,edgar/data/1639234/0001477932-18-000995.txt,edgar/data/1639234/0001477932-18-000995-index.html
180250,1640997,"Eternal Speech, Inc.",10-Q,2018-02-06,edgar/data/1640997/0001494733-18-000005.txt,edgar/data/1640997/0001494733-18-000005-index.html
180251,1640997,"Eternal Speech, Inc.",10-Q,2018-03-21,edgar/data/1640997/0001494733-18-000007.txt,edgar/data/1640997/0001494733-18-000007-index.html
180795,1642223,"QMC Systems, Inc.",10-Q,2018-01-17,edgar/data/1642223/0001599916-18-000017.txt,edgar/data/1642223/0001599916-18-000017-index.html
180796,1642223,"QMC Systems, Inc.",10-Q,2018-02-21,edgar/data/1642223/0001599916-18-000044.txt,edgar/data/1642223/0001599916-18-000044-index.html
180797,1642223,"QMC Systems, Inc.",10-Q,2018-03-22,edgar/data/1642223/0001599916-18-000059.txt,edgar/data/1642223/0001599916-18-000059-index.html
180840,1642363,SEGUIN NATURAL HAIR PRODUCTS INC.,10-Q,2018-02-16,edgar/data/1642363/0001214659-18-001342.txt,edgar/data/1642363/0001214659-18-001342-index.html
181261,1643721,"LEAFBUYER TECHNOLOGIES, INC.",10-Q,2018-02-14,edgar/data/1643721/0001140361-18-008335.txt,edgar/data/1643721/0001140361-18-008335-index.html
181390,1643988,"Interlink Plus, Inc.",10-Q,2018-02-20,edgar/data/1643988/0001393905-18-000065.txt,edgar/data/1643988/0001393905-18-000065-index.html
181501,1644378,RMR GROUP INC.,10-Q,2018-02-08,edgar/data/1644378/0001644378-18-000009.txt,edgar/data/1644378/0001644378-18-000009-index.html
181624,1644488,"Sharing Services, Inc.",10-Q,2018-03-26,edgar/data/1644488/0001469709-18-000046.txt,edgar/data/1644488/0001469709-18-000046-index.html
181735,1644903,"Level Brands, Inc.",10-Q,2018-02-14,edgar/data/1644903/0001654954-18-001547.txt,edgar/data/1644903/0001654954-18-001547-index.html
182166,1645590,Hewlett Packard Enterprise Co,10-Q,2018-03-09,edgar/data/1645590/0001628280-18-003043.txt,edgar/data/1645590/0001628280-18-003043-index.html
182461,1646383,CSRA Inc.,10-Q,2018-02-07,edgar/data/1646383/0001646383-18-000010.txt,edgar/data/1646383/0001646383-18-000010-index.html
182584,1646576,Rito Group Corp.,10-Q,2018-02-14,edgar/data/1646576/0001493152-18-002042.txt,edgar/data/1646576/0001493152-18-002042-index.html
182719,1646916,INFINITY DISTRIBUTION INC.,10-Q,2018-01-17,edgar/data/1646916/0001214659-18-000473.txt,edgar/data/1646916/0001214659-18-000473-index.html
183132,1647822,SavMobi Technology Inc.,10-Q,2018-01-12,edgar/data/1647822/0001640334-18-000064.txt,edgar/data/1647822/0001640334-18-000064-index.html
183328,1648636,Park Place Energy Inc.,10-Q,2018-01-18,edgar/data/1648636/0001493152-18-000709.txt,edgar/data/1648636/0001493152-18-000709-index.html
183592,1649338,Broadcom Ltd,10-Q,2018-03-15,edgar/data/1649338/0001649338-18-000027.txt,edgar/data/1649338/0001649338-18-000027-index.html
183740,1649345,Broadcom Cayman L.P.,10-Q,2018-03-15,edgar/data/1649345/0001649338-18-000027.txt,edgar/data/1649345/0001649338-18-000027-index.html
184086,1649989,"Oncobiologics, Inc.",10-Q,2018-02-14,edgar/data/1649989/0001571049-18-000094.txt,edgar/data/1649989/0001571049-18-000094-index.html
184529,1650739,"WIGI4YOU, INC.",10-Q,2018-02-20,edgar/data/1650739/0001640334-18-000355.txt,edgar/data/1650739/0001640334-18-000355-index.html
184889,1651577,Capstone Systems Inc,10-Q,2018-01-12,edgar/data/1651577/0001477932-18-000177.txt,edgar/data/1651577/0001477932-18-000177-index.html
185023,1651932,M101 CORP.,10-Q,2018-02-07,edgar/data/1651932/0001640334-18-000245.txt,edgar/data/1651932/0001640334-18-000245-index.html
185025,1651944,Constellation Alpha Capital Corp.,10-Q,2018-02-13,edgar/data/1651944/0001144204-18-008036.txt,edgar/data/1651944/0001144204-18-008036-index.html
185142,1652106,"PB Bancorp, Inc.",10-Q,2018-02-12,edgar/data/1652106/0001144204-18-007318.txt,edgar/data/1652106/0001144204-18-007318-index.html
185445,1652871,UNICOBE CORP.,10-Q,2018-02-07,edgar/data/1652871/0001652871-18-000005.txt,edgar/data/1652871/0001652871-18-000005-index.html
185767,1653629,HypGen Inc,10-Q,2018-01-08,edgar/data/1653629/0001662252-18-000008.txt,edgar/data/1653629/0001662252-18-000008-index.html
185803,1653710,APEX RESOURCES INC/NV,10-Q,2018-01-26,edgar/data/1653710/0001477932-18-000494.txt,edgar/data/1653710/0001477932-18-000494-index.html
185842,1653876,MOMENTOUS HOLDINGS CORP.,10-Q,2018-01-17,edgar/data/1653876/0001683168-18-000167.txt,edgar/data/1653876/0001683168-18-000167-index.html
186381,1655349,"Messagebgone, Inc.",10-Q,2018-01-19,edgar/data/1655349/0001477932-18-000315.txt,edgar/data/1655349/0001477932-18-000315-index.html
186527,1656053,TRAQER CORP,10-Q,2018-01-16,edgar/data/1656053/0001640334-18-000091.txt,edgar/data/1656053/0001640334-18-000091-index.html
186710,1656501,"BorrowMoney.com, Inc.",10-Q,2018-01-16,edgar/data/1656501/0001493152-18-000626.txt,edgar/data/1656501/0001493152-18-000626-index.html
186957,1657249,"Road Marshall, Inc.",10-Q,2018-02-14,edgar/data/1657249/0001599916-18-000036.txt,edgar/data/1657249/0001599916-18-000036-index.html
187277,1658304,FundThatCompany,10-Q,2018-02-14,edgar/data/1658304/0001477932-18-000825.txt,edgar/data/1658304/0001477932-18-000825-index.html
187299,1658432,Medico International Inc.,10-Q,2018-02-26,edgar/data/1658432/0001640334-18-000392.txt,edgar/data/1658432/0001640334-18-000392-index.html
187580,1659183,"GO2GREEN LANDSCAPING, INC.",10-Q,2018-02-06,edgar/data/1659183/0001640334-18-000239.txt,edgar/data/1659183/0001640334-18-000239-index.html
187603,1659207,Fellazo Corp,10-Q,2018-01-16,edgar/data/1659207/0001493152-18-000568.txt,edgar/data/1659207/0001493152-18-000568-index.html
188049,1660690,"Versum Materials, Inc.",10-Q,2018-02-08,edgar/data/1660690/0001660690-18-000018.txt,edgar/data/1660690/0001660690-18-000018-index.html
